Adj,Noun,Words,Group,Item,Level,Log_Freq,Log_TP,Length,Adj_Length,Task1,Task2,Correct_Task,Correct_Task_Num,Adj_Trigger,Target_Trigger,Task_Trigger
major,storm,Two,10,72,Basic,4.323334619,-2.845718018,5,5,sad,happy,sad,1,12,2,22
frothy,coffee,Two,11,73,Basic,4.484000714,-2.403120521,6,6,black,milk,milk,2,12,2,22
steaming,coffee,Two,11,74,Basic,4.484000714,-1.596493352,6,8,warm,cool,warm,1,12,2,22
american,house,Two,12,75,Basic,5.384141861,-3.618298431,5,8,florida,spain,florida,1,12,2,22
gray,house,Two,12,76,Basic,5.384141861,-2.728850565,5,4,wheel,chimney,chimney,2,12,2,22
blue,wool,Two,13,77,Basic,3.656098202,-3.176373078,4,4,shoes,socks,socks,2,12,2,22
soft,wool,Two,13,78,Basic,3.656098202,-3.186752031,4,4,sweater,scarf,sweater,1,12,2,22
melted,cheese,Two,14,79,Basic,4.28132886,-1.811782626,6,6,greasy,not greasy,greasy,1,12,2,22
local,cheese,Two,14,80,Basic,4.28132886,-4.315403505,6,5,from France,from New York,from New York,2,12,2,22
strong,whiskey,Two,15,81,Basic,2.723455672,-4.377785977,7,6,sober,drunk,drunk,2,12,2,22
blended,whiskey,Two,15,82,Basic,2.723455672,-2.652246437,7,7,fancy,plain,plain,2,12,2,22
wet,wood,Two,16,83,Basic,4.455423534,-2.636745003,4,3,dark,light,dark,1,12,2,22
colorful,wood,Two,16,84,Basic,4.455423534,-3.805500858,4,8,ugly,pretty,pretty,2,12,2,22
dried,pasta,Two,17,85,Basic,3.817895757,-2.610660163,5,5,not ready,ready,ready,2,12,2,22
uncooked,pasta,Two,17,86,Basic,3.817895757,-1.920570515,5,8,fry,boil,boil,2,12,2,22
new,coin,Two,18,87,Basic,3.543943942,-4.872895202,4,3,dull,shiny,shiny,2,12,2,22
american,coin,Two,18,88,Basic,3.543943942,-4.595166283,4,8,three-sided,two-sided,two-sided,2,12,2,22
elderly,dog,Two,19,89,Basic,4.574656202,-3.46310876,3,7,tired,awake,tired,1,12,2,22
old,dog,Two,19,90,Basic,4.574656202,-2.889694189,3,3,adult,baby,adult,1,12,2,22
yellow,flower,Two,20,91,Basic,3.945025201,-2.748744026,6,6,plate,vase,vase,2,12,2,22
white,flower,Two,20,92,Basic,3.945025201,-3.344658878,6,5,smells good,smells bad,smells good,1,12,2,22
large,snake,Two,21,93,Basic,3.789510204,-3.948643466,5,5,prey,predator,predator,2,12,2,22
big,snake,Two,21,94,Basic,3.789510204,-3.734315233,5,3,eats rabbit,eats mouse,eats rabbit,1,12,2,22
roasted,nut,Two,22,95,Basic,3.475089803,-2.877140859,3,7,brown,white,brown,1,12,2,22
salted,nut,Two,22,96,Basic,3.475089803,-2.496237545,3,6,bland,flavorful,flavorful,2,12,2,22
olympic,race,Two,23,97,Basic,4.725985097,-3.020010492,4,7,difficult,easy,difficult,1,12,2,22
international,race,Two,23,98,Basic,4.725985097,-3.772341269,4,13,professional,amateur,professional,1,12,2,22
mature,tree,Two,24,99,Basic,4.533606848,-2.655970445,4,6,old,young,old,1,12,2,22
green,tree,Two,24,100,Basic,4.533606848,-2.980553854,4,5,leaves,bark,leaves,1,12,2,22
black,car,Two,25,101,Basic,5.029132057,-3.048903985,3,5,dull,shiny,shiny,2,12,2,22
red,car,Two,25,102,Basic,5.029132057,-2.685620993,3,3,slow,sporty,sporty,2,12,2,22
antique,gun,Two,26,103,Basic,4.533098112,-2.908127428,3,7,expensive,cheap,expensive,1,12,2,22
loaded,gun,Two,26,104,Basic,4.533098112,-1.82902059,3,6,arrow,bullet,bullet,2,12,2,22
great,purse,Two,1,105,Sub1,3.788451207,-4.830631433,5,5,to ride,to carry,to carry,2,13,3,23
red,purse,Two,1,106,Sub1,3.788451207,-3.731921006,5,3,common,uncommon,uncommon,2,13,3,23
competitive,chess,Two,2,107,Sub1,3.489677292,-3.427648934,5,11,smart,stupid,smart,1,13,3,23
serious,chess,Two,2,108,Sub1,3.489677292,-4.735182177,5,7,easy,difficult,difficult,2,13,3,23
american,chardonnay,Two,3,109,Sub1,2.915399835,-5.073143291,10,8,white,red,white,1,13,3,23
local,chardonnay,Two,3,110,Sub1,2.915399835,-5.014573526,10,5,French,American,American,2,13,3,23
hungry,crow,Two,4,111,Sub1,3.587374172,-4.012584164,4,6,happy,sad,sad,2,13,3,23
male,crow,Two,4,112,Sub1,3.587374172,-4.625251654,4,4,big,small,big,1,13,3,23
ruined,cathedral,Two,5,113,Sub1,3.624694531,-2.922102542,9,6,stone,wood,stone,1,13,3,23
gothic,cathedral,Two,5,114,Sub1,3.624694531,-1.3969462,9,6,stained glass,clear glass,stained glass,1,13,3,23
black,jeans,Two,6,115,Sub1,3.977449227,-2.84693246,5,5,short,long,long,2,13,3,23
purple,jeans,Two,6,116,Sub1,3.977449227,-3.325362032,5,6,bright,dark,bright,1,13,3,23
blue,flask,Two,7,117,Sub1,2.883093359,-4.279014256,5,4,alcohol,water,alcohol,1,13,3,23
empty,flask,Two,7,118,Sub1,2.883093359,-3.824436005,5,5,thirsty,not thirsty,thirsty,1,13,3,23
female,trout,Two,8,119,Sub1,3.738384124,-4.01163387,5,6,legs,fins,fins,2,13,3,23
male,trout,Two,8,120,Sub1,3.738384124,-4.3250228,5,4,not edible,edible,edible,2,13,3,23
french,croissant,Two,9,121,Sub1,2.354108439,-4.619708841,9,6,dry,buttery,buttery,2,13,3,23
baked,croissant,Two,9,122,Sub1,2.354108439,-3.630529571,9,5,old,fresh,fresh,2,13,3,23
devastating,hurricane,Two,10,123,Sub1,3.990472054,-2.588757014,9,11,not costly,costly,costly,2,13,3,23
major,hurricane,Two,10,124,Sub1,3.990472054,-3.22154485,9,5,no rain,rain,rain,2,13,3,23
frothy,espresso,Two,11,125,Sub1,3.051538391,-2.403120521,8,6,not creamy,creamy,creamy,2,13,3,23
steaming,espresso,Two,11,126,Sub1,3.051538391,-3.019739311,8,8,walmart,starbucks,starbucks,2,13,3,23
american,cottage,Two,12,127,Sub1,3.67292869,-5.073143291,7,8,work,vacation,vacation,2,13,3,23
gray,cottage,Two,12,128,Sub1,3.67292869,-4.118045029,7,4,brick,stone,stone,2,13,3,23
blue,cashmere,Two,13,129,Sub1,3.050766311,-3.610028639,8,4,dye,natural,dye,1,13,3,23
soft,cashmere,Two,13,130,Sub1,3.050766311,-3.538935384,8,4,cheap,expensive,expensive,2,13,3,23
melted,cheddar,Two,14,131,Sub1,3.073351702,-2.884889631,7,6,soft,hard,soft,1,13,3,23
local,cheddar,Two,14,132,Sub1,3.073351702,-5.014373509,7,5,close,far,close,1,13,3,23
strong,scotch,Two,15,133,Sub1,3.266701967,-4.853871964,6,6,low alcohol,high alcohol,high alcohol,2,13,3,23
blended,scotch,Two,15,134,Sub1,3.266701967,-3.196314189,6,7,not single malt,single malt,single malt,2,13,3,23
wet,maple,Two,16,135,Sub1,3.593396842,-3.926780367,5,3,sun,rain,rain,2,13,3,23
colorful,maple,Two,16,136,Sub1,3.593396842,-3.805500858,5,8,brown,purple,brown,1,13,3,23
dried,spaghetti,Two,17,137,Sub1,3.286905353,-3.105510185,9,5,supple,stiff,stiff,2,13,3,23
uncooked,spaghetti,Two,17,138,Sub1,3.286905353,-1.920570515,9,8,chewy,crunchy,crunchy,2,13,3,23
new,penny,Two,18,139,Sub1,3.737192643,-4.749579998,5,3,good condition,bad condition,good condition,1,13,3,23
american,penny,Two,18,140,Sub1,3.737192643,-5.373659633,5,8,lincoln,washington,lincoln,1,13,3,23
elderly,poodle,Two,19,141,Sub1,2.764922985,-4.065168752,6,7,arthritic,flexible,arthritic,1,13,3,23
old,poodle,Two,19,142,Sub1,2.764922985,-4.692503962,6,3,nimble,clumsy,clumsy,2,13,3,23
yellow,daisy,Two,20,143,Sub1,3.327971624,-3.156229353,5,6,pretty,ugly,pretty,1,13,3,23
white,daisy,Two,20,144,Sub1,3.327971624,-4.821023053,5,5,petals,center,petals,1,13,3,23
large,python,Two,21,145,Sub1,2.814913181,-4.617650247,6,5,ferocious,docile,ferocious,1,13,3,23
big,python,Two,21,146,Sub1,2.814913181,-5.290617733,6,3,skinny,wide,wide,2,13,3,23
roasted,almond,Two,22,147,Sub1,3.189490314,-3.098989827,6,7,raw,cooked,cooked,2,13,3,23
salted,almond,Two,22,148,Sub1,3.189490314,-2.797267541,6,6,unshelled,shelled,shelled,2,13,3,23
olympic,marathon,Two,23,149,Sub1,3.501196242,-2.471196013,8,7,fast,slow,fast,1,13,3,23
international,marathon,Two,23,150,Sub1,3.501196242,-4.045342541,8,13,stay home,travel,travel,2,13,3,23
mature,oak,Two,24,151,Sub1,3.985471383,-2.685933598,3,6,small,large,large,2,13,3,23
green,oak,Two,24,152,Sub1,3.985471383,-3.717869777,3,5,summer,automn,summer,1,13,3,23
black,jeep,Two,25,153,Sub1,3.504062883,-3.768349491,4,5,2WD,4WD,4WD,2,13,3,23
red,jeep,Two,25,154,Sub1,3.504062883,-3.430890728,4,3,not all terrain,all terrain,all terrain,2,13,3,23
antique,pistol,Two,26,155,Sub1,3.658774321,-3.209157423,6,7,cheap,expensive,expensive,2,13,3,23
loaded,pistol,Two,26,156,Sub1,3.658774321,-2.420780667,6,6,ready,not ready,ready,1,13,3,23
great,satchel,Two,1,157,Sub2,2.893206753,-5.307752688,7,5,unpopular,popular,popular,2,14,4,24
red,satchel,Two,1,158,Sub2,2.893206753,-4.635010993,7,3,leather,plastic,leather,1,14,4,24
competitive,scrabble,Two,2,159,Sub2,2.770115295,-3.72867893,8,11,guessing,dictionary,dictionary,2,14,4,24
serious,scrabble,Two,2,160,Sub2,2.770115295,-4.735182177,8,7,smart,stupid,smart,1,14,4,24
american,merlot,Two,3,161,Sub2,2.625312451,-5.073143291,6,8,white,red,red,2,14,4,24
local,merlot,Two,3,162,Sub2,2.625312451,-5.014573526,6,5,traveled far,close,close,2,14,4,24
hungry,heron,Two,4,163,Sub2,2.910090546,-4.012584164,5,6,eats weeds,eats fish,eats fish,2,14,4,24
male,heron,Two,4,164,Sub2,2.910090546,-4.024108864,5,4,not pregnant,pregnant,not pregnant,1,14,4,24
ruined,basilica,Two,5,165,Sub2,2.73479983,-3.62107182,8,6,good condition,bad condition,bad condition,2,14,4,24
gothic,basilica,Two,5,166,Sub2,2.73479983,-2.941014385,8,6,imposing,diminutive,imposing,1,14,4,24
black,capris,Two,6,167,Sub2,1.73239376,-4.754487332,6,5,summer,winter,summer,1,14,4,24
purple,capris,Two,6,168,Sub2,1.73239376,-3.927422942,6,6,man,woman,woman,2,14,4,24
blue,thermos,Two,7,169,Sub2,2.770852012,-4.756961951,7,4,coffee,water,coffee,1,14,4,24
empty,thermos,Two,7,170,Sub2,2.770852012,-3.824436005,7,5,insulated,not insulated,insulated,1,14,4,24
female,guppy,Two,8,171,Sub2,1.707570176,-4.613693862,5,6,rainbow,brown,brown,2,14,4,24
male,guppy,Two,8,172,Sub2,1.707570176,-4.626052796,5,4,colorless,colorful,colorful,2,14,4,24
french,brioche,Two,9,173,Sub2,2.158362492,-4.619708841,7,6,not braided,braided,braided,2,14,4,24
baked,brioche,Two,9,174,Sub2,2.158362492,-3.630529571,7,5,soft,hard,soft,1,14,4,24
devastating,tornado,Two,10,175,Sub2,3.374198258,-3.065878437,7,11,windy,calm,windy,1,14,4,24
major,tornado,Two,10,176,Sub2,3.374198258,-4.315154638,7,5,topples trees,topples houses,topples houses,2,14,4,24
frothy,latte,Two,11,177,Sub2,2.706717782,-2.704150517,5,6,old,fresh,fresh,2,14,4,24
steaming,latte,Two,11,178,Sub2,2.706717782,-3.320769307,5,8,burns tongue,easy to drink,burns tongue,1,14,4,24
american,bungalow,Two,12,179,Sub2,3.02325246,-5.373659633,8,8,short,tall,short,1,14,4,24
gray,bungalow,Two,12,180,Sub2,3.02325246,-3.941927173,8,4,paint,stone,paint,1,14,4,24
blue,merino,Two,13,181,Sub2,2.187520721,-4.455126679,6,4,cyan,orange,cyan,1,14,4,24
soft,merino,Two,13,182,Sub2,2.187520721,-4.442492798,6,4,washing machine,dry clean,dry clean,2,14,4,24
melted,camembert,Two,14,183,Sub2,1.838849091,-3.663040215,9,6,white,yellow,white,1,14,4,24
local,camembert,Two,14,184,Sub2,1.838849091,-5.014373509,9,5,exotic,common,common,2,14,4,24
strong,bourbon,Two,15,185,Sub2,3.237040791,-4.853871964,7,6,corn,wheat,corn,1,14,4,24
blended,bourbon,Two,15,186,Sub2,3.237040791,-3.196314189,7,7,Maker's Mark,Jim Beam,Jim Beam,2,14,4,24
wet,balsa,Two,16,187,Sub2,2.217483944,-4.227678293,5,3,burns well,burns slowly,burns slowly,2,14,4,24
colorful,balsa,Two,16,188,Sub2,2.217483944,-3.805500858,5,8,painted,unpainted,painted,1,14,4,24
dried,ziti,Two,17,189,Sub2,2.008600172,-4.008600172,4,5,edible,inedible,inedible,2,14,4,24
uncooked,ziti,Two,17,190,Sub2,2.008600172,-2.765668555,4,8,not ready,ready to eat,ready to eat,2,14,4,24
new,dime,Two,18,191,Sub2,3.381295623,-5.049635146,4,3,gold,silver,silver,2,14,4,24
american,dime,Two,18,192,Sub2,3.381295623,-5.073143291,4,8,in new york,in london,in new york,1,14,4,24
elderly,dachshund,Two,19,193,Sub2,2.1430148,-4.065168752,9,7,gray-haired,brown-haired,gray-haired,1,14,4,24
old,dachshund,Two,19,194,Sub2,2.1430148,-5.294136288,9,3,energetic,exhausted,exhausted,2,14,4,24
yellow,daffodil,Two,20,195,Sub2,2.181843588,-4.110471862,8,6,bulb,seed,bulb,1,14,4,24
white,daffodil,Two,20,196,Sub2,2.181843588,-5.299296283,8,5,spring,autumn,spring,1,14,4,24
large,mamba,Two,21,197,Sub2,1.986771734,-5.094771502,5,5,toothless,bites,bites,2,14,4,24
big,mamba,Two,21,198,Sub2,1.986771734,-5.290617733,5,3,venomous,non-venomous,venomous,1,14,4,24
roasted,cashew,Two,22,199,Sub2,2.29666519,-2.974050954,6,7,sour,sweet,sweet,2,14,4,24
salted,cashew,Two,22,200,Sub2,2.29666519,-2.621176282,6,6,hard,soft,soft,2,14,4,24
olympic,biathlon,Two,23,201,Sub2,2.117271296,-3.531893853,8,7,rain,snow,snow,2,14,4,24
international,biathlon,Two,23,202,Sub2,2.117271296,-4.948432528,8,13,cities,countries,countries,2,14,4,24
mature,spruce,Two,24,203,Sub2,3.20709554,-3.230001958,6,6,short,tall,tall,2,14,4,24
green,spruce,Two,24,204,Sub2,3.20709554,-4.354577731,6,5,evergreen,perennial,evergreen,1,14,4,24
black,limousine,Two,25,205,Sub2,3.13481437,-3.531778249,9,5,cheap,fancy,fancy,2,14,4,24
red,limousine,Two,25,206,Sub2,3.13481437,-3.473642627,9,3,rare,common,rare,1,14,4,24
antique,musket,Two,26,207,Sub2,2.694605199,-3.686278678,6,7,museum,store,museum,1,14,4,24
loaded,musket,Two,26,208,Sub2,2.694605199,-3.975431809,6,6,will shoot,won't shoot,will shoot,1,14,4,24
bddmhcvsq,accessory,One,1,209,Super,3.047664195,NA,9,9,not portable,portable,portable,2,15,5,25
mlwtlxmjt,accessory,One,1,210,Super,3.047664195,NA,9,9,necessary,unnecessary,unnecessary,2,15,5,25
vwvnpfrm,activity,One,2,211,Super,4.58383331,NA,8,8,athletic,sedentary,athletic,1,15,5,25
crwgpgtw,activity,One,2,212,Super,4.58383331,NA,8,8,moving,still,moving,1,15,5,25
jsksbfh,alcohol,One,3,213,Super,4.247310277,NA,7,7,bowl,cup,cup,2,15,5,25
qgznhjt,alcohol,One,3,214,Super,4.247310277,NA,7,7,brown,purple,brown,1,15,5,25
vfpzrd,animal,One,4,215,Super,4.418765175,NA,6,6,natural,man-made,natural,1,15,5,25
kvqfqw,animal,One,4,216,Super,4.418765175,NA,6,6,doesn't breathe,breathes,breathes,2,15,5,25
vmdkqqtw,building,One,5,217,Super,4.897989768,NA,8,8,open,shelter,shelter,2,15,5,25
qpnrlwlp,building,One,5,218,Super,4.897989768,NA,8,8,brick,cloth,brick,1,15,5,25
swnvwbvm,clothing,One,6,219,Super,4.125481266,NA,8,8,ride,wear,wear,2,15,5,25
hknmtmdn,clothing,One,6,220,Super,4.125481266,NA,8,8,dressed,naked,dressed,1,15,5,25
ggwgmqppf,container,One,7,221,Super,3.742017747,NA,9,9,heat,storage,storage,2,15,5,25
fvkvtfgrh,container,One,7,222,Super,3.742017747,NA,9,9,open,closed,closed,2,15,5,25
ltlpplpd,creature,One,8,223,Super,3.908324139,NA,8,8,moves,doesn't move,moves,1,15,5,25
dqkhrsss,creature,One,8,224,Super,3.908324139,NA,8,8,alive,not alive,alive,1,15,5,25
rxpqchd,dessert,One,9,225,Super,3.693902741,NA,7,7,savory,sweet,sweet,2,15,5,25
spqrwvs,dessert,One,9,226,Super,3.693902741,NA,7,7,healthy,unhealthy,healthy,1,15,5,25
pxzncwhz,disaster,One,10,227,Super,4.136752266,NA,8,8,blessing,tragedy,tragedy,2,15,5,25
hnlcxqdz,disaster,One,10,228,Super,4.136752266,NA,8,8,happy,sad,sad,2,15,5,25
thjjn,drink,One,11,229,Super,4.430300856,NA,5,5,hungry,thirsty,thirsty,2,15,5,25
lnwjh,drink,One,11,230,Super,4.430300856,NA,5,5,solid,liquid,liquid,2,15,5,25
lkcqnvcd,dwelling,One,12,231,Super,3.178113252,NA,8,8,outdoors,indoors,indoors,2,15,5,25
tcgxfmsm,dwelling,One,12,232,Super,3.178113252,NA,8,8,uncomfortable,comfortable,comfortable,2,15,5,25
dttfhj,fabric,One,13,233,Super,3.94792362,NA,6,6,hard,soft,soft,2,15,5,25
thdpkv,fabric,One,13,234,Super,3.94792362,NA,6,6,woven,pulped,woven,1,15,5,25
ndgh,food,One,14,235,Super,5.011160059,NA,4,4,important,unimportant,important,1,15,5,25
kdpl,food,One,14,236,Super,5.011160059,NA,4,4,thirsty,hungry,hungry,2,15,5,25
qtjmgz,liquor,One,15,237,Super,3.613207352,NA,6,6,hard,weak,hard,1,15,5,25
pbmrjn,liquor,One,15,238,Super,3.613207352,NA,6,6,brewed,distilled,distilled,2,15,5,25
tzscfxqm,material,One,16,239,Super,4.572371992,NA,8,8,cleaning,construction,construction,2,15,5,25
svlmqflb,material,One,16,240,Super,4.572371992,NA,8,8,artificial,natural,artificial,1,15,5,25
cgsp,meal,One,17,241,Super,4.143170993,NA,4,4,table,floor,table,1,15,5,25
bxcn,meal,One,17,242,Super,4.143170993,NA,4,4,noon,midnight,noon,1,15,5,25
hvvls,money,One,18,243,Super,5.252083235,NA,5,5,necessary,unnecessary,necessary,1,15,5,25
xdvfn,money,One,18,244,Super,5.252083235,NA,5,5,bank,pharmacy,bank,1,15,5,25
fcx,pet,One,19,245,Super,3.867762025,NA,3,3,domestic,wild,domestic,1,15,5,25
tgs,pet,One,19,246,Super,3.867762025,NA,3,3,not cuddly,cuddly,cuddly,2,15,5,25
bhgjq,plant,One,20,247,Super,4.579383404,NA,5,5,garden,kitchen,garden,1,15,5,25
rqnwh,plant,One,20,248,Super,4.579383404,NA,5,5,soil,sand,soil,1,15,5,25
mpbkswn,reptile,One,21,249,Super,2.761175813,NA,7,7,scales,fur,scales,1,15,5,25
qsrttzh,reptile,One,21,250,Super,2.761175813,NA,7,7,cold-blooded,warm-blooded,cold-blooded,1,15,5,25
gkrjg,snack,One,22,251,Super,3.520876382,NA,5,5,full,hungry,hungry,2,15,5,25
fbxtr,snack,One,22,252,Super,3.520876382,NA,5,5,between meals,meal,between meals,1,15,5,25
zftjd,sport,One,23,253,Super,4.412460547,NA,5,5,sweaty,clean,sweaty,1,15,5,25
lpvsg,sport,One,23,254,Super,4.412460547,NA,5,5,active,inactive,active,1,15,5,25
mllkjtsflp,vegetation,One,24,255,Super,3.57426283,NA,10,10,nature,city,nature,1,15,5,25
cfnsmvvglc,vegetation,One,24,256,Super,3.57426283,NA,10,10,desert,forest,forest,2,15,5,25
vlqwqzv,vehicle,One,25,257,Super,4.253822439,NA,7,7,transport,staying still,transport,1,15,5,25
dcmqpcj,vehicle,One,25,258,Super,4.253822439,NA,7,7,motor,no motor,motor,1,15,5,25
